ScientificName	AphiaID	ImageLink	Group
Candacia ethiopica	104478	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000717/photos/T4000717-002__cpi111-0002__Candacia-ethiopica.jpg	Copepoda
Candacia armata	104474	https://v3.boldsystems.org/pics/COCLA/COPCLAD_367%2B1480101888.jpg	Copepoda
Candacia	104157	https://images.marinespecies.org/thumbs/38055_candacia-bipinnata.jpg?w=700	Copepoda
Centropages typicus	104499	https://media.collections.yale.edu/thumbnail/ypm/70b45824-b37e-4c76-be95-1e58f172c27d	Copepoda
Centropages hamatus	104496	https://images.marinespecies.org/thumbs/134838_centropages-hamatus.jpg?w=700	Copepoda
Centropages violaceus	104500	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B16%5D%2B1513247676.jpg	Copepoda
Centropages bradyi	104491	https://images.marinespecies.org/thumbs/38062_centropages-bradyi.jpg?w=700	Copepoda
Centropages chierchiae	104494	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000306/photos/T4000306-001__cpi150-0010__Centropages-chierchiae.jpg	Copepoda
Centropages	104159	https://www.researchgate.net/profile/Ann-Bucklin/publication/322841332/figure/fig2/AS:1106791526084608@1640891071823/Centropages-typicus-Copepod-https-alchetroncom-Centropages-2143715-W-Photo.jpg	Copepoda
Clausocalanus arcuicornis	104502	http://sio-legacy.ucsd.edu/zooplanktonguide/sites/default/files/Clausocalanus_arcuicornis_1x8.jpg	Copepoda
Clausocalanus furcatus	104503	https://v3.boldsystems.org/pics/BACQ/C01%2B1467496248.jpg	Copepoda
Clausocalanus	104161	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B20%5D%2B1513248121.jpg	Copepoda
Ctenocalanus vanus	104510	https://sio-legacy.ucsd.edu/zooplanktonguide/sites/default/files/Ctenocalanus_vanus_1X6_0.jpg	Copepoda
Pseudocalanus elongatus	104515	https://content.eol.org/data/media/ac/e8/54/539.BNSCP_MT00786_1311359764_jpg.580x360.jpg	Copepoda
Euchaeta marina	104552	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000037/photos/T4000037-001__cpi111-0001__Euchaeta-marina.jpg	Copepoda
Lucicutia	104183	https://images.marinespecies.org/thumbs/111103_lucicutia-flavicornis.jpg?w=700	Copepoda
Metridia lucens lucens	850801	https://v3.boldsystems.org/pics/CAISN/BIOUG01717-A05%2B1345232794.jpg	Copepoda
Pleuromamma abdominalis abdominalis	596242	https://planktonocean.files.wordpress.com/2022/05/pleuromamma_abdominalis.jpg	Copepoda
Pleuromamma gracilis gracilis	1436445	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B36%5D%2B1513252706.jpg	Copepoda
Pleuromamma borealis	104638	https://copepodes.obs-banyuls.fr/copepodes_images_grandes/6773.jpg	Copepoda
Pleuromamma gracilis	104639	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B36%5D%2B1513252706.jpg	Copepoda
Pleuromamma	104191	https://atlanticplankton.files.wordpress.com/2014/10/pleuromamma_2_copyright.jpg	Copepoda
Calocalanus pavo	104669	https://images.marinespecies.org/thumbs/40336_calocalanus-pavo.jpg?w=700	Copepoda
Calocalanus	104193	https://images.marinespecies.org/thumbs/38048_calocalanus-styliremis.jpg?w=700	Copepoda
Labidocera wollastoni	104736	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B42%5D%2B1513259589.jpg	Copepoda
Rhincalanus cornutus	104542	https://images.marinespecies.org/thumbs/40513_rhincalanus-cornutus-f.jpg?w=700	Copepoda
Scolecithricella	104229	https://images.marinespecies.org/thumbs/40515_scolecithricella-minor-m.jpg?w=700	Copepoda
Scolecithrix danae	104821	http://www.intranet.biologia.ufrj.br/lizi/cat.zoo/Copepoda/Calanoida/Scolecithrix-danae/Femea/vista-lateral.jpg	Copepoda
Subeucalanus crassus	104544	https://v3.boldsystems.org/pics/COCLA/COPCLAD_293%2B1480101888.jpg	Copepoda
Temora longicornis	104878	https://images.marinespecies.org/thumbs/35096_temora-longicornis.jpg?w=700	Copepoda
Temora stylifera	104879	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Temora_stylifera_%28YPM_IZ_101459%29.jpeg/1024px-Temora_stylifera_%28YPM_IZ_101459%29.jpeg	Copepoda
Corycaeus	128634	https://www.researchgate.net/profile/Jonah-Van-Beijnen/publication/317663537/figure/fig16/AS:667647788216326@1536191045373/A-Calanoid-copepod-Corycaeus-speciosus-preferred-live-feed-of-PBT-larvae-Slotwinski.png	Copepoda
Farranula rostrata	128814	https://copepodes.obs-banyuls.fr/copepodes_images_grandes/18692.jpg	Copepoda
Oithona nana	106651	https://www.researchgate.net/profile/Irina-Prusova/publication/233793652/figure/fig27/AS:669574215258115@1536650341071/Oithona-nana-Female-a-dorsal-view-b-lateral-view.png	Copepoda
Oithona	106485	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000335/photos/T4000335-001__cpi150-0010__Oithona-fallax.jpg	Copepoda
Oncaea	128690	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000008/photos/T4000008-001__cpi150-0010__Oncaea.jpg	Copepoda
Sapphirina nigromaculata	129053	https://copepodes.obs-banyuls.fr/copepodes_images_grandes/12995.jpg	Copepoda
Sapphirina	128722	https://sio-legacy.ucsd.edu/zooplanktonguide/sites/default/files/Saphirina_0.5x2_black_male.jpg	Copepoda
Euterpina acutifrons	116162	https://www.researchgate.net/profile/Faiza-Al-Yamani/publication/334119878/figure/fig32/AS:775410061152260@1561883573786/Euterpina-acutifrons-Female-a-dorsal-view-b-lateral-view.png	Copepoda
Harpacticoida	1102	https://upload.wikimedia.org/wikipedia/commons/7/7c/Harpacticoid_copepod_GLERL_1.jpg	Copepoda
Leucocryptos	17651	https://www.iopan.gda.pl/~wiktor/MAriclim/taxa/images/59.jpg	Cryptophyta incertae sedis
Chroococcales	146543	https://upload.wikimedia.org/wikipedia/commons/4/4c/SAG_36.85_Chroococcus_turgidus_SWES6wk_ML_160818_0017_ovl.jpg	Cyanophyceae
Pseudopedinella	160599	http://media.nordicmicroalgae.org/large/Pseudopedinella_3.jpg	Dictyochophyceae
Amphidinium operculatum	109745	https://content.eol.org/data/media/9f/6a/68/776.27471730.580x360.jpg	Dinophyceae
Amphidinium	109473	http://blog.coralwonders.com/wp-content/uploads/2018/04/amphidinium.jpg	Dinophyceae
Blastodinium	562641	https://www.researchgate.net/profile/Alf-Skovgaard/publication/230843856/figure/fig10/AS:271798260465705@1441813163637/Blastodinium-sp-in-Euchaeta-sp-from-the-Atlantic-Ocean-A-C-Parasites-inside-their.png	Dinophyceae
Haplozoon	562650	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Haplozoon_axiothellae.tif/lossy-page1-629px-Haplozoon_axiothellae.tif.jpg	Dinophyceae
Azadinium	391508	https://images.marinespecies.org/thumbs/30405_azadinium-spinosum-lm-provided-by-urban-tillmann.jpg?w=700	Dinophyceae
Amphisolenia	109459	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T2000599/photos/T2000599-001__cpi507-0517__Amphisolenia-bidentata.jpg	Dinophyceae
Dinophysis sacculus	232261	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/maria_antnia_sampayo_dinophysis_sacculus_division_arelho_xxw_20080429115928_small.jpg	Dinophyceae
