ScientificName	AphiaID	Match type	LSID	TSN	ScientificName	Authority	Qualitystatus	Taxon status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation
Temora longicornis	104878	exact	urn:lsid:marinespecies.org:taxname:104878	85877	Temora longicornis	(Müller O.F., 1785)	Checked by Taxonomic Editor	accepted	104878	Temora longicornis	(Müller O.F., 1785)	Animalia	Arthropoda	Copepoda	Calanoida	Temoridae	Temora		longicornis		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Temora longicornis (Müller O.F., 1785). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104878 on 2022-10-01
Dexamine spinosa	102135	exact	urn:lsid:marinespecies.org:taxname:102135	93666	Dexamine spinosa	(Montagu, 1813)	Checked by Taxonomic Editor	accepted	102135	Dexamine spinosa	(Montagu, 1813)	Animalia	Arthropoda	Malacostraca	Amphipoda	Dexaminidae	Dexamine		spinosa		1	0	0	0	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Dexamine spinosa (Montagu, 1813). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102135 on 2022-10-01
Farranula rostrata	128814	exact	urn:lsid:marinespecies.org:taxname:128814	88597	Farranula rostrata	(Claus, 1863)	Checked by Taxonomic Editor	accepted	128814	Farranula rostrata	(Claus, 1863)	Animalia	Arthropoda	Copepoda	Cyclopoida	Corycaeidae	Farranula		rostrata		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Farranula rostrata (Claus, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=128814 on 2022-10-01
Jujubinus exasperatus	141807	exact	urn:lsid:marinespecies.org:taxname:141807	204876	Jujubinus exasperatus	(Pennant, 1777)	Checked by Taxonomic Editor	accepted	141807	Jujubinus exasperatus	(Pennant, 1777)	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Jujubinus		exasperatus		1				MolluscaBase eds. (2022). MolluscaBase. Jujubinus exasperatus (Pennant, 1777). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141807 on 2022-10-01
Paramecium bursaria	426754	exact	urn:lsid:marinespecies.org:taxname:426754	46416	Paramecium bursaria	(Ehrenberg) Focker, 1836	Checked by Taxonomic Editor	accepted	426754	Paramecium bursaria	(Ehrenberg) Focker, 1836	Chromista	Ciliophora	Oligohymenophorea	Peniculida	Parameciidae	Paramecium		bursaria		1	1	0	0	Xu, K.; Agatha, S. & Dolan, J. (2022). World Ciliophora Database. Paramecium bursaria (Ehrenberg) Focker, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=426754 on 2022-10-01
Urothoe intermedia	103232	exact	urn:lsid:marinespecies.org:taxname:103232		Urothoe intermedia	Bellan-Santini & Ruffo, 1986	Checked by Taxonomic Editor	accepted	103232	Urothoe intermedia	Bellan-Santini & Ruffo, 1986	Animalia	Arthropoda	Malacostraca	Amphipoda	Urothoidae	Urothoe		intermedia		1	0	0	0	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Urothoe intermedia Bellan-Santini & Ruffo, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103232 on 2022-10-01
Syllis gerlachi	131432	exact	urn:lsid:marinespecies.org:taxname:131432		Syllis gerlachi	(Hartmann-Schröder, 1960)	Checked by Taxonomic Editor	accepted	131432	Syllis gerlachi	(Hartmann-Schröder, 1960)	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Syllis		gerlachi		1	0	0	0	Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Syllis gerlachi (Hartmann-Schröder, 1960). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131432 on 2022-10-01
Palaeophalacroma unicinctum	233359	exact	urn:lsid:marinespecies.org:taxname:233359	610155	Palaeophalacroma unicinctum	J.Schiller, 1928	Checked by Taxonomic Editor	accepted	233359	Palaeophalacroma unicinctum	J.Schiller, 1928	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Cladopyxidaceae	Palaeophalacroma		unicinctum		1			0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Palaeophalacroma unicinctum J.Schiller, 1928. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=233359 on 2022-10-01
Leptocheirus hirsutimanus	102036	exact	urn:lsid:marinespecies.org:taxname:102036	206414	Leptocheirus hirsutimanus	(Spence Bate, 1862)	Checked by Taxonomic Editor	accepted	102036	Leptocheirus hirsutimanus	(Spence Bate, 1862)	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Leptocheirus		hirsutimanus		1	0	0	0	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Leptocheirus hirsutimanus (Spence Bate, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102036 on 2022-10-01
Turborotalita quinqueloba	113462	exact	urn:lsid:marinespecies.org:taxname:113462		Turborotalita quinqueloba	(Natland, 1938)	Checked by Taxonomic Editor	accepted	113462	Turborotalita quinqueloba	(Natland, 1938)	Chromista	Foraminifera	Globothalamea	Rotaliida	Globigerinidae	Turborotalita		quinqueloba		1				Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2022). World Foraminifera Database. Turborotalita quinqueloba (Natland, 1938). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=113462 on 2022-10-01
Bodotria arenosa	110440	exact	urn:lsid:marinespecies.org:taxname:110440	573793	Bodotria arenosa	Goodsir, 1843	Checked by Taxonomic Editor	accepted	110440	Bodotria arenosa	Goodsir, 1843	Animalia	Arthropoda	Malacostraca	Cumacea	Bodotriidae	Bodotria		arenosa		1			0	Watling, L.; Gerken, S. (2022). World Cumacea Database. Bodotria arenosa Goodsir, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110440 on 2022-10-01
Ocinebrina aciculata	140407	exact	urn:lsid:marinespecies.org:taxname:140407		Ocinebrina aciculata	(Lamarck, 1822)	Checked by Taxonomic Editor	accepted	140407	Ocinebrina aciculata	(Lamarck, 1822)	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Ocinebrina		aciculata		1				MolluscaBase eds. (2022). MolluscaBase. Ocinebrina aciculata (Lamarck, 1822). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140407 on 2022-10-01
Synalpheus gambarelloides	107490	exact	urn:lsid:marinespecies.org:taxname:107490		Synalpheus gambarelloides	(Nardo, 1847)	Checked by Taxonomic Editor	accepted	107490	Synalpheus gambarelloides	(Nardo, 1847)	Animalia	Arthropoda	Malacostraca	Decapoda	Alpheidae	Synalpheus		gambarelloides		1	0	0	0	WoRMS (2022). Synalpheus gambarelloides (Nardo, 1847). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107490 on 2022-10-01
Rissoella opalina	141149	exact	urn:lsid:marinespecies.org:taxname:141149		Rissoella opalina	(Jeffreys, 1848)	Checked by Taxonomic Editor	accepted	141149	Rissoella opalina	(Jeffreys, 1848)	Animalia	Mollusca	Gastropoda		Rissoellidae	Rissoella		opalina		1				MolluscaBase eds. (2022). MolluscaBase. Rissoella opalina (Jeffreys, 1848). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141149 on 2022-10-01
Eusirus longipes	102202	exact	urn:lsid:marinespecies.org:taxname:102202	206445	Eusirus longipes	Boeck, 1861	Checked by Taxonomic Editor	accepted	102202	Eusirus longipes	Boeck, 1861	Animalia	Arthropoda	Malacostraca	Amphipoda	Eusiridae	Eusirus		longipes		1				Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Eusirus longipes Boeck, 1861. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102202 on 2022-10-01
Protoperidinium murray	110236	exact	urn:lsid:marinespecies.org:taxname:110236		Protoperidinium murray	Kofoid	Checked by Taxonomic Editor	accepted	110236	Protoperidinium murray	Kofoid	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium		murray		1				WoRMS (2022). Protoperidinium murray Kofoid. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110236 on 2022-10-01
Alexandrium leei	109710	exact	urn:lsid:marinespecies.org:taxname:109710		Alexandrium leei	Balech, 1985	Checked by Taxonomic Editor	accepted	109710	Alexandrium leei	Balech, 1985	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium		leei		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium leei Balech, 1985. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109710 on 2022-10-01
Apherusa vexatrix	102176	exact	urn:lsid:marinespecies.org:taxname:102176		Apherusa vexatrix	Krapp-Schickel, 1979	Checked by Taxonomic Editor	accepted	102176	Apherusa vexatrix	Krapp-Schickel, 1979	Animalia	Arthropoda	Malacostraca	Amphipoda	Calliopiidae	Apherusa		vexatrix		1				Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Apherusa vexatrix Krapp-Schickel, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102176 on 2022-10-01
Amphidinium operculatum	ambiguous																							
Dinophysis sacculus	232261	exact	urn:lsid:marinespecies.org:taxname:232261	573380	Dinophysis sacculus	F.Stein, 1883	Checked by Taxonomic Editor	accepted	232261	Dinophysis sacculus	F.Stein, 1883	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis		sacculus		1		0	0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dinophysis sacculus F.Stein, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=232261 on 2022-10-01
Neogloboquadrina pachyderma	113458	exact	urn:lsid:marinespecies.org:taxname:113458		Neogloboquadrina pachyderma	(Ehrenberg, 1861)	Checked by Taxonomic Editor	accepted	113458	Neogloboquadrina pachyderma	(Ehrenberg, 1861)	Chromista	Foraminifera	Globothalamea	Rotaliida	Globorotaliidae	Neogloboquadrina		pachyderma		1				Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2022). World Foraminifera Database. Neogloboquadrina pachyderma (Ehrenberg, 1861). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=113458 on 2022-10-01
Cleantis prismatica	119038	exact	urn:lsid:marinespecies.org:taxname:119038	543759	Cleantis prismatica	(Risso, 1826)	Checked by Taxonomic Editor	accepted	119038	Cleantis prismatica	(Risso, 1826)	Animalia	Arthropoda	Malacostraca	Isopoda	Holognathidae	Cleantis		prismatica		1	0	0	0	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Cleantis prismatica (Risso, 1826). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=119038 on 2022-10-01
Abludomelita obtusata	102788	exact	urn:lsid:marinespecies.org:taxname:102788	206459	Abludomelita obtusata	(Montagu, 1813)	Checked by Taxonomic Editor	accepted	102788	Abludomelita obtusata	(Montagu, 1813)	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita		obtusata		1				Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Abludomelita obtusata (Montagu, 1813). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102788 on 2022-10-01
Anapagurus hyndmanni	107217	exact	urn:lsid:marinespecies.org:taxname:107217		Anapagurus hyndmanni	(Bell, 1845)	Checked by Taxonomic Editor	accepted	107217	Anapagurus hyndmanni	(Bell, 1845)	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Anapagurus		hyndmanni		1	0	0	0	Lemaitre, R.; McLaughlin, P. (2022). World Paguroidea & Lomisoidea Database. Anapagurus hyndmanni (Bell, 1845). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107217 on 2022-10-01
Lensia subtilis	135439	exact	urn:lsid:marinespecies.org:taxname:135439	51285	Lensia subtilis	(Chun, 1886)	Checked by Taxonomic Editor	accepted	135439	Lensia subtilis	(Chun, 1886)	Animalia	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Lensia		subtilis		1	0	0	0	Schuchert, P. (2022). World Hydrozoa Database. Lensia subtilis (Chun, 1886). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135439 on 2022-10-01
Oikopleura dioica	103407	exact_subgenus	urn:lsid:marinespecies.org:taxname:103407	159669	Oikopleura (Vexillaria) dioica	Fol, 1872	Checked by Taxonomic Editor	accepted	103407	Oikopleura (Vexillaria) dioica	Fol, 1872	Animalia	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	Vexillaria	dioica		1	1	0	0	Hopcroft, R. (2022). World List of Appendicularia. Oikopleura (Vexillaria) dioica Fol, 1872. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103407 on 2022-10-01
Chaetoceros densus	149121	exact	urn:lsid:marinespecies.org:taxname:149121	2794	Chaetoceros densus	(Cleve) Cleve, 1899	Edited by Database Management Team	accepted	149121	Chaetoceros densus	(Cleve) Cleve, 1899	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		densus		1			0	Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2022). DiatomBase. Chaetoceros densus (Cleve) Cleve, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149121 on 2022-10-01
Apherusa chiereghinii	102162	exact	urn:lsid:marinespecies.org:taxname:102162		Apherusa chiereghinii	Giordani- Soika, 1949	Checked by Taxonomic Editor	accepted	102162	Apherusa chiereghinii	Giordani- Soika, 1949	Animalia	Arthropoda	Malacostraca	Amphipoda	Calliopiidae	Apherusa		chiereghinii		1				Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Apherusa chiereghinii Giordani- Soika, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102162 on 2022-10-01
Tripos carriensis	837448	exact	urn:lsid:marinespecies.org:taxname:837448		Tripos carriensis	(Gourret) F.Gómez, 2013	Checked by Taxonomic Editor	accepted	837448	Tripos carriensis	(Gourret) F.Gómez, 2013	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos		carriensis		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Tripos carriensis (Gourret) F.Gómez, 2013. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=837448 on 2022-10-01
Cymodoce truncata	118936	exact	urn:lsid:marinespecies.org:taxname:118936	206323	Cymodoce truncata	Leach, 1814	Checked by Taxonomic Editor	accepted	118936	Cymodoce truncata	Leach, 1814	Animalia	Arthropoda	Malacostraca	Isopoda	Sphaeromatidae	Cymodoce		truncata		1	0	0	0	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Cymodoce truncata Leach, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118936 on 2022-10-01
Anapagurus chiroacanthus	107215	exact	urn:lsid:marinespecies.org:taxname:107215	97857	Anapagurus chiroacanthus	(Liljeborg, 1856)	Checked by Taxonomic Editor	accepted	107215	Anapagurus chiroacanthus	(Liljeborg, 1856)	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Anapagurus		chiroacanthus		1	0	0	0	Lemaitre, R.; McLaughlin, P. (2022). World Paguroidea & Lomisoidea Database. Anapagurus chiroacanthus (Liljeborg, 1856). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107215 on 2022-10-01
Diogenes pugilator	107199	exact	urn:lsid:marinespecies.org:taxname:107199		Diogenes pugilator	(Roux, 1829)	Checked by Taxonomic Editor	accepted	107199	Diogenes pugilator	(Roux, 1829)	Animalia	Arthropoda	Malacostraca	Decapoda	Diogenidae	Diogenes		pugilator		1	0	0	0	Lemaitre, R.; McLaughlin, P. (2022). World Paguroidea & Lomisoidea Database. Diogenes pugilator (Roux, 1829). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107199 on 2022-10-01
Calanus helgolandicus	104466	exact	urn:lsid:marinespecies.org:taxname:104466	85276	Calanus helgolandicus	(Claus, 1863)	Checked by Taxonomic Editor	accepted	104466	Calanus helgolandicus	(Claus, 1863)	Animalia	Arthropoda	Copepoda	Calanoida	Calanidae	Calanus		helgolandicus		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Calanus helgolandicus (Claus, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104466 on 2022-10-01
Hippolyte garciarasoi	107509	exact	urn:lsid:marinespecies.org:taxname:107509		Hippolyte garciarasoi	d'Udekem d'Acoz, 1996	Checked by Taxonomic Editor	accepted	107509	Hippolyte garciarasoi	d'Udekem d'Acoz, 1996	Animalia	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Hippolyte		garciarasoi		1	0	0	0	WoRMS (2022). Hippolyte garciarasoi d'Udekem d'Acoz, 1996. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107509 on 2022-10-01
Sphaerosyllis hystrix	131388	exact	urn:lsid:marinespecies.org:taxname:131388	65739	Sphaerosyllis hystrix	Claparède, 1863	Checked by Taxonomic Editor	accepted	131388	Sphaerosyllis hystrix	Claparède, 1863	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Sphaerosyllis		hystrix		1	0	0	0	Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Sphaerosyllis hystrix Claparède, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131388 on 2022-10-01
Vaunthompsonia cristata	110467	exact	urn:lsid:marinespecies.org:taxname:110467	573795	Vaunthompsonia cristata	Bate, 1858	Checked by Taxonomic Editor	accepted	110467	Vaunthompsonia cristata	Bate, 1858	Animalia	Arthropoda	Malacostraca	Cumacea	Bodotriidae	Vaunthompsonia		cristata		1			0	Watling, L.; Gerken, S. (2022). World Cumacea Database. Vaunthompsonia cristata Bate, 1858. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110467 on 2022-10-01
Joeropsis brevicornis	118738	exact	urn:lsid:marinespecies.org:taxname:118738	545045	Joeropsis brevicornis	Koehler, 1885	Checked by Taxonomic Editor	accepted	118738	Joeropsis brevicornis	Koehler, 1885	Animalia	Arthropoda	Malacostraca	Isopoda	Joeropsididae	Joeropsis		brevicornis		1	0	0	0	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Joeropsis brevicornis Koehler, 1885. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118738 on 2022-10-01
Pronoctiluca pelagica	109903	exact	urn:lsid:marinespecies.org:taxname:109903	10144	Pronoctiluca pelagica	Fabre-Domergue, 1889	Checked by Taxonomic Editor	accepted	109903	Pronoctiluca pelagica	Fabre-Domergue, 1889	Chromista	Myzozoa	Dinophyceae	Noctilucales	Protodiniferaceae	Pronoctiluca		pelagica		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pronoctiluca pelagica Fabre-Domergue, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109903 on 2022-10-01
Harpinia crenulata	102963	exact	urn:lsid:marinespecies.org:taxname:102963	94654	Harpinia crenulata	(Boeck, 1871)	Checked by Taxonomic Editor	accepted	102963	Harpinia crenulata	(Boeck, 1871)	Animalia	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae	Harpinia		crenulata		1	0	0	0	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Harpinia crenulata (Boeck, 1871). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102963 on 2022-10-01
Globorotalia scitula	113452	exact	urn:lsid:marinespecies.org:taxname:113452	45783	Globorotalia scitula	(Brady, 1882)	Checked by Taxonomic Editor	accepted	113452	Globorotalia scitula	(Brady, 1882)	Chromista	Foraminifera	Globothalamea	Rotaliida	Globorotaliidae	Globorotalia		scitula		1				Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2022). World Foraminifera Database. Globorotalia scitula (Brady, 1882). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=113452 on 2022-10-01
